Category,Subcategory,Procedure / Item,Condition / Trigger / Step,Price / Rate,Primary Question (English),Primary Question (Tagalog),Clinic Approved Response (English),Clinic Approved Response (Tagalog),Question Variations (English),Question Variations (Tagalog)
Clinical Consultation & Screening,Tooth Extraction,Tooth Extraction Eligibility,Initial Screening,"₱1,000–₱3,000 (basic extraction)",Can I have a tooth extracted?,Maaari po ba akong magpabunot ng ngipin?,"Before we can determine if a tooth extraction is appropriate, may we ask if you have any allergies, medical conditions, or are currently taking any medications or maintenance drugs?","Bago po natin malaman kung maaari kayong magpabunot ng ngipin, maaari po ba naming malaman kung mayroon kayong mga allergy, medical condition, o umiinom ng anumang gamot o maintenance medicine?",Can I get my tooth pulled?; Can I have a tooth extracted?; I want to get my tooth extracted; Is it safe for me to extract a tooth?,Pwede po ba magpabunot?; Pwede ba ako magpabunot ng ngipin?; Gusto ko po magpabunot; Ligtas po ba magpabunot ng ngipin para sa akin?
Clinical Consultation & Screening,Tooth Extraction,Tooth Extraction Eligibility,If patient answers 'Yes' (has allergies / medical conditions / maintenance drugs),-,Can I have a tooth extracted?,Maaari po ba akong magpabunot ng ngipin?,"Thank you for informing us. For your safety, we kindly request that you provide a medical certificate or medical clearance from your attending physician before undergoing tooth extraction. This will help our dentist assess whether the procedure can be safely performed.","Salamat po sa impormasyon. Para po sa inyong kaligtasan, humihiling po kami ng medical certificate o medical clearance mula sa inyong attending physician bago magpabunot ng ngipin. Makakatulong po ito sa aming dentista upang matiyak na ligtas gawin ang operasyon o bunot.","I have medical conditions and want extraction; I take maintenance medicine, can I extract tooth?; Do I need clearance for tooth extraction?","May medical condition po ako pwede ba magpabunot?; Umiinom po ako ng maintenance, pwede ba magpabunot?; Kailangan po ba ng clearance sa bunot?"
Clinical Consultation & Screening,Tooth Extraction,Tooth Extraction Eligibility,If patient answers 'No' (no allergies / medical conditions),-,Can I have a tooth extracted?,Maaari po ba akong magpabunot ng ngipin?,Thank you. You may proceed to TeethTalk Dental Clinic for a dental examination. Our dentist will evaluate your condition and determine whether tooth extraction is the most appropriate treatment.,Maraming salamat po. Maaari na po kayong pumunta sa TeethTalk Dental Clinic para sa dental examination. Susuriin po ng aming dentista ang inyong kalagayan upang matukoy kung bunot po ang pinakaangkop na gamot o solusyon.,"I have no medical conditions, can I get extracted?; I want to visit for tooth extraction","Wala naman po akong sakit, pwede ba magpabunot?; Pwede na po ba ako magpunta para magpabunot?"
Clinical Consultation & Screening,Pediatric Dentistry,Tooth Extraction for Children,Initial Screening,-,Can a child undergo tooth extraction?,Maaari po bang magpabunot ng ngipin ang bata?,May we know the child's age?,Maaari po ba naming malaman kung ilang taon na ang bata?,Can kids get teeth extracted?; Can my child have a tooth pulled?; At what age can a child extract teeth?,Pwede ba magpabunot ang bata?; Pwede po ba bunutan ang anak ko?; Anong edad pwede magpabunot ng ngipin ang bata?
Clinical Consultation & Screening,Pediatric Dentistry,Tooth Extraction for Children,If child is 5 years old or below,-,Can a child undergo tooth extraction?,Maaari po bang magpabunot ng ngipin ang bata?,"Generally, tooth extraction is not recommended for children aged five years old and below without proper dental evaluation. We encourage you to visit the clinic so our dentist can assess the child's condition and recommend the most appropriate treatment.","Sa pangkalahatan, hindi po inirerekomenda ang pagbunot ng ngipin sa mga batang limang (5) taong gulang pababa nang walang masusing dental evaluation. Hinihikayat po namin kayong bumisita sa klinika upang masuri ng dentista ang kalagayan ng bata at mairekomenda ang nararapat na gamot o gamutan.",My 4 year old needs tooth extraction; Can a toddler get a tooth extracted?; Extraction for 5 years old,Pwede ba bunutan ang 4 years old?; Pwede ba magpabunot ang toddler o 5 years old pababa?; Bunot para sa batang 5 anyos pababa
Clinical Consultation & Screening,Pediatric Dentistry,Tooth Extraction for Children,If child is 6 years old and above,-,Can a child undergo tooth extraction?,Maaari po bang magpabunot ng ngipin ang bata?,Children aged six years old and above may be considered for tooth extraction depending on their dental condition. The dentist may require a dental X-ray before the procedure. Please visit the clinic for a thorough examination.,Ang mga batang anim (6) na taong gulang pataas ay maaaring sumailalim sa pagbunot depende sa kondisyon ng kanilang ngipin. Maaaring humingi ang dentista ng dental X-ray bago ang pamamaraan. Mangyaring bumisita sa klinika para sa kumpletong checkup.,Can a 7 year old get a tooth extracted?; Extraction for 6 years old and above; Tooth pulling for older kids,Pwede ba bunutan ang 6 years old pataas?; Pwede ba bunutan ang 7 taong gulang?; Bunot para sa batang 6 anyos pataas
Clinical Consultation & Screening,Orthodontics,Braces Consultation Eligibility,Initial Screening,-,Can I get braces?,Maaari po ba akong magpalagay ng braces?,May we know your reason for wanting braces?,Maaari po ba naming malaman ang inyong dahilan kung bakit nais ninyong magpa-braces?,Can I get braces?; Am I qualified for braces?; Are braces suitable for me?; Can anyone have braces?; Is it okay if I want braces?,Pwede po ba ako magpa-braces?; Qualified po ba ako sa braces?; Para sa akin po ba ang braces?; Pwede ba kahit sino magpa-braces?
Clinical Consultation & Screening,Orthodontics,Braces Consultation Eligibility,If for cosmetic or fashion purposes only,-,Can I get braces?,Maaari po ba akong magpalagay ng braces?,"Thank you for your inquiry. At TeethTalk Dental Clinic, orthodontic treatment is recommended primarily to address dental alignment, bite problems, and other oral health concerns. Braces are prescribed only after a comprehensive evaluation by one of our licensed dentists.","Salamat po sa inyong inquiry. Sa TeethTalk Dental Clinic, ang orthodontic treatment (braces) ay inirerekomenda pangunahin para ituwid ang ngipin, ayusin ang kagat (bite), at iba pang problemang pang-oral health. Ang braces po ay inilalagay lamang matapos ang kumpletong pagsusuri ng aming lisensyadong dentista.",Can I get fashion braces?; I want braces just for style/looks; Do you install aesthetic/fashion braces?,Pwede ba magpalagay ng fashion braces?; Gusto ko lang po ng braces para sa porma/itsura; Naglalagay ba kayo ng pamporma lang na braces?
Clinical Consultation & Screening,Orthodontics,Braces Consultation Eligibility,If for medical or orthodontic reasons,-,Can I get braces?,Maaari po ba akong magpalagay ng braces?,"Thank you. We recommend scheduling a consultation at the clinic so our dentist can evaluate your teeth and bite. A thorough examination, and if necessary, diagnostic X-rays, will help determine whether braces are the appropriate treatment for you.",Maraming salamat po. Inirerekomenda po namin ang pag-schedule ng konsultasyon sa klinika upang masuri ng aming dentista ang inyong mga ngipin at kagat. Ang masusing checkup at diagnostic X-ray ay makakatulong upang matukoy kung nararapat po sa inyo ang braces.,"I need braces for crooked teeth; My bite is misaligned, can I get braces?; How to consult for orthodontic treatment?","Sungki po ang ngipin ko, pwede ba magpa-braces?; Hindi pantay ang kagat ko, kailangan ko ba ng braces?; Paano magpa-consult para sa braces?"
Patient Care & Instructions,Orthodontics,First-Time Braces Aftercare & Diet,General Post-Procedure Care,-,What foods can I eat after getting braces for the first time?,Anong mga pagkain ang maaari kong kainin pagkatapos magpakabit ng braces sa unang pagkakataon?,"After your braces are placed, it is recommended to eat soft foods for the first few days or as advised by your dentist. Examples include: Soup, Lugaw or arroz caldo, Mashed potatoes, Yogurt, Oatmeal, Scrambled eggs, Pasta, Soft rice, Bananas, Soft bread. Please avoid hard foods (nuts, popcorn, hard candies), sticky foods (chewing gum, caramel), and very chewy foods (bagels, tough meat). If you experience severe pain, broken brackets, or persistent discomfort, please contact or visit the clinic immediately.","Pagkatapos maikabit ang inyong braces, inirerekomendang kumain ng malalambot na pagkain sa mga unang araw o ayon sa payo ng dentista. Halimbawa: Sopas, Lugaw o arroz caldo, Mashed potatoes, Yogurt, Oatmeal, Scrambled eggs, Pasta, Malambot na kanin, Saging, at Malambot na tinapay. Iwasan po ang: Matitigas na pagkain (nuts, popcorn, matitigas na kendi), Malalagkit na pagkain (bubble gum, caramel), at Makukunat na pagkain (bagels, makunat na karne). Kung makaranas ng matinding sakit o matanggalan ng bracket, kontakin agad ang klinika.",What can I eat with new braces?; Foods allowed after braces installation; Diet guide for braces; What foods should I avoid with braces?,Anong pwede kainin pag bagong lagay ang braces?; Mga bawal at pwedeng kainin sa may braces; Tips sa pagkain pag may braces; Bawal bang kumain ng matigas pag may braces?
Patient Care & Instructions,Orthodontics,Braces Adjustment Follow-up,Standard Maintenance,Monthly adjustment fees apply based on braces type,When should I return for my braces adjustment?,Kailan po ako dapat bumalik para sa adjustment ng aking braces?,"Braces adjustments are generally scheduled once every month. However, your follow-up appointment will always depend on the treatment plan prescribed by your dentist. Please follow the schedule provided during your last visit.","Ang adjustment ng braces ay karaniwang ginagawa minsan bawat buwan. Gayunpaman, ang inyong follow-up appointment ay nakadepende pa rin sa treatment plan na itinakda ng inyong dentista. Mangyaring sundin ang schedule na ibinigay sa inyong huling pagbisita.",How often are braces adjustments?; When is my next braces visit?; Frequency of braces tightening; Braces follow-up schedule,Gaano kadalas ang adjustment ng braces?; Kailan ang susunod kong balik sa braces?; Ilang beses magpapa-adjust ng braces?; Gaano katagal bago bumalik para sa adjustment?
General Clinic Inquiries,Pricing Overview,General Dental Services Pricing,General Inquiry,Varies per procedure,How much does your dental service cost?,Magkano po ang inyong dental services?,"The cost depends on the specific dental procedure you need. Examples include: Oral Prophylaxis (₱1,000–₱3,000), Tooth Extraction (₱1,000–₱3,000), Root Canal Treatment (₱7,000–₱10,000 per canal), Periapical X-ray (₱500), Panoramic X-ray (₱1,000), Metal Braces (₱35,000), Ceramic Braces (₱45,000). If you're looking for the price of a specific procedure, please let us know the service you're interested in.","Ang presyo ay nakadepende sa partikular na dental procedure na inyong kailangan. Halimbawa: Oral Prophylaxis o Cleaning (₱1,000–₱3,000), Bunot ng Ngipin (₱1,000–₱3,000), Root Canal Treatment (₱7,000–₱10,000 bawat canal), Periapical X-ray (₱500), Panoramic X-ray (₱1,000), Metal Braces (₱35,000), Ceramic Braces (₱45,000). Kung may partikular na serbisyo kayong gustong malaman, pakisabi lamang po sa amin.",How much are your services?; What are your dental rates?; Price list of dental treatments; How much for teeth treatment?,Magkano po ang mga serbisyo ninyo?; Magkano magpagawa ng ngipin?; Pricelist po ng mga dental procedures?; Magkano rate ninyo sa klinika?
Clinic Operations,Appointments & Hours,Clinic Operating Hours,General Inquiry,-,What are your clinic hours?,Ano po ang oras ng inyong klinika?,Our clinic operating hours and open days are available upon scheduling. Please contact TeethTalk Dental Clinic to verify today's schedule.,Ang oras at mga araw ng operasyon ng aming klinika ay makukuha sa oras ng inyong pagpapaschedule. Mangyaring makipag-ugnayan sa TeethTalk Dental Clinic upang matiyak ang schedule para sa araw na ito.,What time do you open?; What time do you close?; Are you open on weekends?; What are your operating days?,Anong oras kayo bukas?; Anong oras kayo nagsasara?; Bukas ba kayo ng weekend?; Anong mga araw bukas ang clinic?
Clinic Operations,Appointments & Hours,Walk-In Policy,General Inquiry,-,Do you accept walk-in patients?,Tumatanggap po ba kayo ng walk-in patients?,"Walk-in patients are accepted based on dental chair availability, but priority is given to patients with confirmed appointments. We recommend booking in advance to avoid long wait times.","Tumatanggap po kami ng walk-in patients depende sa bakanteng dental chair, ngunit binibigyang-priyoridad po ang mga pasyenteng may confirmed appointment. Inirerekomenda po namin ang magpa-schedule nang maaga upang maiwasan ang matagal na paghihintay.",Can I walk in?; Do you allow walk-in appointments?; Is an appointment required to be seen?,Pwede po ba mag-walk in?; Tumatanggap ba kayo ng walang appointment?; Kailangan po ba laging may appointment bago pumunta?
Clinic Operations,Appointments & Hours,Appointment Booking,General Inquiry,-,How do I book an appointment?,Paano po mag-book ng appointment?,"You can schedule an appointment by messaging our official page, calling our clinic hotline, or visiting TeethTalk Dental Clinic directly.","Maaari po kayong mag-schedule ng appointment sa pamamagitan ng pag-message sa aming official page, pagtawag sa aming clinic hotline, o direktang pagbisita sa TeethTalk Dental Clinic.",How can I set an appointment?; Where do I book a consultation?; Can I schedule an appointment online?,Paano magpa-appointment?; Saan po pwede mag-schedule ng checkup?; Pwede po ba magpa-book online?
Clinic Operations,Location & Branches,Clinic Location / Nearest Branch,General Inquiry,-,Which branch is nearest to me?,Aling branch po ang pinakamalapit sa akin?,Please share your current city or location so we can provide directions to the nearest TeethTalk Dental Clinic branch.,Maaari po bang malaman ang inyong lungsod o lokasyon upang maibigay namin ang direksyon patungo sa pinakamalapit na branch ng TeethTalk Dental Clinic.,Where is your clinic located?; What is your clinic address?; Do you have other branches near me?,Saan po ang inyong klinika?; Saan po may branch ang TeethTalk?; May malapit po bang branch sa akin?
Billing & Insurance,Insurance Coverage,HMO & Health Insurance,General Inquiry,-,Do you accept HMO or insurance?,Tumatanggap po ba kayo ng HMO o dental insurance?,HMO and insurance acceptance depends on accredited provider partners. Please send us your HMO card details and provider name so we can check your coverage eligibility.,Ang pagtanggap ng HMO at insurance ay nakadepende sa aming mga accredited provider partners. Pakisend po ang detalye ng inyong HMO card at provider name upang ma-verify namin ang inyong coverage.,Is HMO accepted?; Can I use Maxicare / Intellicare / Medicard?; Does my health card cover dental services?,Puwede po ba ang Maxicare / Intellicare / Medicard?; Covered po ba ng health card ang serbisyo?; Tumatanggap po ba kayo ng dental insurance?
Dental Services FAQ,Orthodontics,Pre-Braces Appointment,Pre-Procedure,-,Do I need an appointment before getting braces?,Kailangan po ba ng appointment bago magpalagay ng braces?,"Yes, a comprehensive consultation and dental assessment (including examination and diagnostic X-rays) are required before placing braces.","Opo, kinakailangan ang masusing konsultasyon at dental assessment (kasama ang pagsusuri at diagnostic X-rays) bago kabitan ng braces.",Can I get braces on the same day?; Do I need consultation before braces?; What are the steps before getting braces?,Pwede ba magpakabit agad ng braces sa mismong araw?; Kailangan po ba munang magpa-consult bago braces?; Ano ang unang step bago magpa-braces?
