id,patient_id,message_prompt,ai_response,Actual_intent,Predicted_intent,created_at
007da5ec-5e0e-42b0-8e59-79cb287fbb1d,69363311-72e8-4dfa-8cdf-d07e2544547e,Doktor ako ,"Salamat po sa pagbati! 😊  

Kung nais ninyo po mag‑schedule ng dental appointment para sa inyong sarili, kailangan ko lang po ang ilang detalye:

- **Preferred dentist** (pumili mula sa listahan namin):
  - Dr. Agie Meg  
  - Dr. Miguel Aquino  
  - Dr. Patricia Flores  
  - Dr. Elias Ramos  
  - Dr. Sophia Villanueva  
  - Dr. Adrian Cruz  
  - Dr. Chloe Bautista  
  - Dr. Rafael Mendoza  
  - Dr. Isabella Garcia  
  - Dr. Gabriel Santos  
  - Dr. Mikaela Reyes  

- **Preferred branch**: Fairview, San Juan, o Pasig  

- **Desired date & time** (Lunes‑Sabado, 9 AM‑5 PM) – pwede po kayong mag‑bigay ng natural na pahayag tulad ng “bukas ng alas‑dalawa ng hapon”.

- **Reason for the visit** – pakipili mula sa aming serbisyo (hal. *Post‑extraction follow‑up, Oral Prophylaxis, Root Canal Treatment, etc.*). Narito ang ilang halimbawa:
  - Post‑extraction follow‑up  
  - Oral Prophylaxis (PHP 1,000)  
  - Root Canal Treatment (PHP 7,000)  
  - Wisdom Tooth Exo (PHP 8,000)  
  - At iba pang services na nasa fee list.

Kapag naibigay ninyo po ang mga ito, agad ko po itong ipoproseso at ipapadala sa aming staff para **pending approval**.  

Ano po ang inyong napiling dentista, branch, petsa/oras, at dahilan ng pagbisita?",general_inquiry,appointments,2026-08-18 20:35:23.542507+08
01c8ad74-ce6f-43a3-a600-a32cf6c39fb6,69363311-72e8-4dfa-8cdf-d07e2544547e,hello\,"**Hello!**

Welcome to Teethtalk Dental Clinic Pasig! I'm happy to assist you with any questions or concerns you may have. How can I help you today?

Are you looking to book an appointment, inquire about our services, or have a question about a specific dental procedure? Please feel free to ask, and I'll do my best to provide you with helpful and accurate information.",general_inquiry,general_inquiry,2026-08-12 14:02:53.901945+08
02cd77ed-9533-4aad-9fef-9804a21c320a,69363311-72e8-4dfa-8cdf-d07e2544547e,Teeth Talk clinic fees,"**TeethTalk Dental Clinic – Official Fee List**

| Service / Procedure | Price (PHP) |
|---------------------|------------|
| **Braces** |
| Metal Braces | 35,000 |
| Ceramic Braces | 45,000 |
| Self‑Ligating Braces | 75,000 |
| Sapphire Braces | 102,000 |
| Removal of Braces (Patient) | 3,000 |
| Removal of Braces (Non‑Patient) | 5,000 |
| **Preventive / Cleaning** |
| TADS | 15,000 |
| Deep Scale | 3,000 |
| NSRP | 2,500 |
| SRP | 5,000 |
| **Extractions & Surgery** |
| Complicated Exo | 4,000 |
| Wisdom Tooth Exo | 8,000 |
| Gingivectomy | 2,500 |
| Hard & Soft Tissue Surgery | 5,000 |
| Implant | 125,000 |
| **Restorative / Cosmetic** |
| Build Up | 3,000 |
| Fiber Reinforced Composite | 5,000 |
| Whitening w/ Free OP | 6,000 |
| Oral Prophylaxis | 1,000 |
| Basic Exo | 1,000 |
| Additional Carpule | 300 |
| Restoration (1 week warranty) | 1,000 |
| Root Canal Treatment | 7,000 |
| Vital Pulp Therapy | 8,000 |
| Fiber Post | 2,500 |
| Build Up w/ Fiber Reinforced | 4,000 |
| **Dentures** |
| Ordinary/Acrylic Denture | 8,000 |
| Complete Denture (Ordinary) | 10,000 |
| Flexible Denture | 15,000 |
| Ivocap Denture | 20,000 |
| Thermosen Denture | 20,000 |
| Denture Additional – Metal Framework | 5,000 |
| Denture Additional – Metal/Flexible Clasp | 2,000 |
| Denture Additional – Wire Clasp | 500 |
| Denture Additional – Metal Mesh | 2,000 |
| Denture Additional – Palatal Lingual Wire | 1,000 |
| Denture Additional – Branded Pontic | 3,000 |
| **Crowns / Bridges** |
| Composite Veneers | 3,500 |
| Plastic Crown/Bridge | 3,000 |
| PFM Crown/Bridge | 9,500 |
| Ceramage Crown/Bridge | 9,500 |
| Tilite Crown/Bridge | 10,500 |
| EMAX Crown/Bridge | 16,500 |
| Zirconia Crown/Bridge | 20,500 |
| **Imaging** |
| Periapical X‑ray | 500 |
| Panoramic X‑ray | 1,000 |
| **Retainers & Appliances** |
| Hawley Retainer | 5,000 |
| Clear Retainer/Essex | 10,000 |
| Lingual Retainer | 8,000 |
| Retainer Additional Pontic | 500 |
| TMJ Consultation | 500 |
| TMJ 2nd Appointment | 1,500 |
| TMJ Appliance | 10,000 |
| TMJ 4th Appointment | 30,000 |
| Splint | 10,000 |
| SVED | 10,000 |
| Sagittal Appliance | 10,000 |
| Transverse Appliance | 10,000 |
| Bite Plane | 10,000 |

All payments are settled at the front desk after the dentist’s examination (online reservation is free). If you’d like to schedule an appointment for any of these services, just let me know the details!",billing,billing,2026-09-14 13:14:01.297347+08
0325859c-1e7c-443a-b225-9b7e33f727d6,69363311-72e8-4dfa-8cdf-d07e2544547e,then book me a new one.,"Absolutely! I can set up a new appointment for you. To make sure everything is just right, could you please let me know:

1. **Which dentist you’d like to see** (choose from our available doctors).  
2. **Preferred date** (any day Monday‑Saturday).  
3. **Preferred time** (between 9 AM – 5 PM).  
4. **Reason for the visit** – pick a service from our fee list (e.g., Oral Prophylaxis – PHP 1,000; Deep Scale – PHP 3,000; Root Canal Treatment – PHP 7,000; etc.).

Just give me those details, and I’ll submit the booking for you right away!",appointments,appointments,2026-08-18 11:40:08.344352+08
06623496-faef-45bc-b7ca-7a00711cba12,69363311-72e8-4dfa-8cdf-d07e2544547e,anong ID? wala naman ako nakikitang ganyan,"Naiintindihan ko po ang inyong concern. Upang makapag‑cancel kami ng eksaktong appointment sa system, kailangan po naming **appointment ID** ng bawat booking. Ang ID na ito ay karaniwang makikita sa inyong “Appointment Tab” (karaniwan ay isang mahabang string ng mga numero at letra).

**Paano hanapin ang ID:**

1. **Buksan ang TeethTalk app o website** at pumunta sa “My Appointments.”  
2. Sa listahan ng mga naka‑schedule na appointment, hanapin ang **“Details”** o **“View”** button.  
3. Sa ilalim ng detalye ng appointment, makikita ninyo ang **Appointment ID** (hal. `a1b2c3d4‑e5f6‑7890‑abcd‑1234567890ef`).  

Kapag nakuha ninyo ang ID ng:

- **Sept 30 2026 10:00 AM – San Juan branch**  
- **Sept 16 2026 2:00 PM – Pasig branch**

pakisend po ito sa akin, at agad ko po itong i‑cancel para sa inyo.  

Kung hindi po ninyo makita ang ID, maaari po ninyong **screenshot** ang appointment details at i‑upload dito; makakatulong ito para ma‑verify namin ang booking at i‑process ang pagkansela.  

Salamat po sa inyong pag‑unawa, at handa po akong tumulong kaagad kapag nakuha na natin ang mga ID. 🙏",appointments,appointments,2026-09-16 21:24:23.96122+08
06660db6-77a7-469c-9f0c-231d736f32ac,ee8c97f0-bbd3-4783-8040-f4080fc4c983,what is the birthday of aiveen mhel?,"I've searched our system, but I do not have access to patient personal data, including birthdays. As a dental clinic assistant, I can only provide general information and assist with scheduling appointments, providing treatment options, or answering questions about our services. If you need to confirm Aiveen Mhel's appointment or schedule a new one, I can help you with that. Please let me know how I can assist you further.",general_inquiry,general_inquiry,2026-07-16 22:44:18.952847+08
08380aa7-5c41-4cae-9cc7-8c49a7f4e5b6,b0fd368f-30bd-48ad-a820-b632e96bdba1,Explain my medication dose,"I’m glad you reached out, but I’m not able to give specific medical or dosage instructions. For a safe and accurate explanation of your medication dose, please contact the dentist or healthcare professional who prescribed it. If you have any other questions about scheduling, services, or general clinic policies, I’m happy to help!",post_op_care,post_op_care,2026-09-14 17:16:59.817044+08
08f67241-d08c-4ac6-a55c-0c96fd43c8af,3773c8e3-84a5-4057-8ed3-1066118cb686,Explain my medication dose,"I'm not a medical professional, and I don't have the ability to access or view your medical records. I'm here to provide general information and assistance with scheduling appointments, answering questions about our clinic, and other non-medical inquiries.

However, I can suggest that you speak with one of our dentists or medical professionals at the clinic about your medication. They will be able to provide you with accurate and personalized information about your treatment plan, including your medication dose.

Would you like to schedule an appointment with one of our doctors to discuss your medication?",post_op_care,post_op_care,2026-08-07 01:04:23.727692+08
097a77d8-ba81-480c-92af-7519fb830473,69363311-72e8-4dfa-8cdf-d07e2544547e,who are your available doctors tomorrow,"**Available Doctors for Tomorrow**

We have the following doctors available for tomorrow, August 13, 2026:

* Dr. Miguel Aquino
* Dr. Patricia Flores
* Dr. Elias Ramos
* Dr. Sophia Villanueva
* Dr. Adrian Cruz
* Dr. Chloe Bautista
* Dr. Rafael Mendoza
* Dr. Isabella Garcia
* Dr. Gabriel Santos
* Dr. Mikaela Reyes

Please note that Dr. Doc Meg's schedule is currently unavailable.

Would you like to book an appointment with one of our available doctors? If so, please let me know your preferred doctor, date, time, and reason for visit.

**Available Services:**

* Braces consultation
* Oral Prophylaxis: PHP 1,000
* Deep Scale: PHP 3,000
* NSRP: PHP 2,500
* SRP: PHP 5,000
* And many more...

Let me know how I can assist you further!",appointments,appointments,2026-08-12 14:30:02.029663+08
0ba7381f-9f51-430f-8dbd-f484eb5b3236,3773c8e3-84a5-4057-8ed3-1066118cb686,hello,"I'm sorry, my AI services have temporarily reached their limit. Please try again in a minute, or contact the clinic directly!",general_inquiry,general_inquiry,2026-08-17 18:13:30.368865+08
